Movie_ID,Title,Gross_Revenue(million dollars)
965,Sleepless in Seattle,37.02
966,Mulholland Drive,29.76
967,Multiplicity,8.89
968,Night and the City,10.82
969,Some Came Running,474.54
970,House of Sand and Fog,260.04
971,Never Let Me Go,45.51
972,Shutter Island,30.33
973,Hud,40.31
974,Who's That Knocking at My Door,35.93
975,Into the Wild,27.09
976,Moneyball,289.92
977,"Monsters, Inc.",57.39
978,Mr. & Mrs. Smith,7.22
979,Niagara,183.42
980,Scent of a Woman,10.06
981,Snatch,0.03
982,In Bruges,67.36
983,My Fair Lady,21.01
984,Sling Blade,403.71
985,Hotel Rwanda,13.01
986,In the Bedroom,35.33
987,It Happened One Night,70.1
988,My Uncle,34.47
989,Munich,90.14
990,Nighthawks,75.59
991,9½ Weeks,0.71
992,Royal Wedding,49.44
993,Say Anything,81.26
994,Scarlet Street,120.28
995,Sin City,124.73
996,Sophie's Choice,33.83
997,Horse Feathers,23.53
998,Hugo,12.78
999,It Happened on Fifth Avenue,66.21
1000,Mutiny on the Bounty,44.54
1001,My Favorite Year,173.01
1002,Night Shift,125.54
1003,Shadows,71.5
1004,Slumdog Millionaire,373.59
1005,J. Edgar,218.08
1006,Jackie Brown,4.24
1007,Monty Python and the Holy Grail,186.34
1008,Mr. Blandings Builds His Dream House,47.4
1009,Shakespeare in Love,74.1
1010,Hollywoodland,14.42
1011,Impact,88.51
1012,Natural Born Killers,17.51
1013,Scarecrow,10.53
1014,Something's Gotta Give,40.14
1015,Hunger,4.02
1016,In This Our Life,18.35
1017,Iron Man,143.5
1018,Jerry Maguire,148.73
1019,Joe Dirt,10.3
1020,National Lampoon's Van Wilder,74.28
1021,Night Moves,117.15
1022,How the West Was Won,0.15
1023,I Am Sam,7.76
1024,In the Heat of the Night,318.41
1025,Short Cuts,141.32
1026,500 Days of Summer,32.39
1027,Imitation of Life,120.54
1028,Naked,19.68
1029,"New York, New York",23.99
1030,"Yesterday, Today and Tomorrow",292.58
1031,My Left Foot,2.43
1032,Shadow of a Doubt,128.01
1033,How the Grinch Stole Christmas,73.86
1034,Indiana Jones and the Last Crusade,37.31
1035,Inside Daisy Clover,11.24
1036,Modern Times,75.61
1037,Mrs. Miniver,14.6
1038,Separate Tables,4
1039,It's a Wonderful Life,15.03
1040,Monkey Business,45.51
1041,Shadows and Fog,132.09
1042,Shampoo,304.36
1043,It's a Mad Mad Mad Mad World,1.03
